month,region,ad_spend,price,competitor_price,units_sold
2,South,3976.06,29.51,29.38,207.0
10,West,4870.4,65.27,66.84,231.0
8,South,2703.41,57.32,59.74,136.0
6,East,1061.93,18.41,19.73,92.0
6,South,464.11,69.83,72.61,41.0
11,South,1456.42,62.99,64.68,83.0
2,West,1006.38,28.47,30.67,63.0
9,West,3517.23,60.54,58.22,164.0
3,South,960.43,0.0,19.56,75.0
2,West,2729.12,69.95,69.59,115.0
7,South,3593.61,50.61,50.93,168.0
12,East,3073.14,49.71,50.63,148.0
9,West,1318.97,17.25,20.07,109.0
10,South,4098.97,64.03,66.94,197.0
9,East,3690.87,13.68,12.41,182.0
10,South,3799.33,25.97,27.37,188.0
7,North,1002.87,20.3,21.8,76.0
2,North,969.27,57.05,56.13,59.0
11,South,4666.79,23.5,21.24,206.0
6,West,2228.86,64.82,62.07,105.0
7,North,1784.36,50.06,51.72,91.0
5,South,2647.49,14.1,14.04,129.0
3,East,3449.18,12.31,15.22,183.0
12,North,4795.87,15.0,14.79,231.0
10,East,1717.65,47.14,50.01,80.0
8,South,4654.12,58.49,57.96,207.0
5,West,514.35,25.84,27.6,65.0
10,East,2953.91,61.27,58.78,147.0
7,East,3316.29,15.32,15.65,179.0
6,North,887.13,58.46,60.27,
6,South,1045.56,65.81,68.36,
3,West,2327.93,56.78,58.72,108.0
2,North,4844.67,52.49,49.71,218.0
7,West,3141.8,60.6,59.84,150.0
11,South,4691.91,14.33,11.62,233.0
1,East,4100.06,23.7,21.36,205.0
11,East,2549.96,19.25,20.3,136.0
10,South,4009.91,41.26,42.54,177.0
4,South,482.05,55.22,56.86,41.0
8,East,902.06,48.54,50.73,66.0
2,North,4215.37,61.37,62.81,190.0
10,East,4065.36,21.0,22.81,193.0
9,North,1470.15,54.61,51.9,82.0
5,East,2841.54,23.2,21.61,140.0
1,East,3187.67,27.7,28.43,154.0
12,North,4391.6,53.17,55.32,205.0
6,West,3174.29,68.85,65.88,139.0
11,South,2297.83,47.47,47.56,120.0
9,West,2121.25,15.16,16.22,124.0
10,North,2359.06,47.75,44.93,105.0
10,North,3398.88,14.46,13.87,166.0
3,South,4390.46,63.28,65.65,214.0
5,North,2487.93,53.16,54.19,113.0
6,South,1540.06,22.04,20.47,72.0
6,East,1488.65,17.32,19.44,78.0
1,North,3831.67,22.64,21.73,186.0
7,East,4156.22,68.84,70.96,188.0
2,North,884.28,38.6,37.39,61.0
9,North,706.17,57.48,58.02,64.0
9,East,3134.39,48.91,48.29,123.0
12,West,1072.4,45.2,43.85,72.0
9,North,4193.46,20.42,22.74,220.0
5,South,1827.54,66.87,65.0,80.0
12,West,1061.81,29.48,26.99,
5,West,4636.46,45.52,44.57,203.0
4,East,1161.45,52.59,53.9,63.0
11,South,1709.71,49.66,51.5,92.0
5,South,1106.62,66.55,69.54,82.0
1,East,-999.0,20.61,19.39,88.0
6,East,497.28,41.48,40.93,43.0
10,South,654.82,35.43,33.25,72.0
3,North,1203.35,39.5,39.95,77.0
6,North,645.56,18.91,21.9,81.0
2,West,3119.26,19.78,20.99,159.0
9,South,3531.29,28.13,28.7,175.0
6,South,2210.7,29.67,29.02,122.0
4,South,1862.76,36.82,39.31,138.0
3,West,2720.82,47.44,47.42,
7,North,4425.02,48.81,46.62,193.0
9,North,4315.21,35.89,35.08,211.0
12,South,599.99,35.71,33.11,47.0
6,South,1234.89,24.62,22.83,75.0
2,East,1489.03,46.12,43.23,
10,South,1547.18,30.39,30.11,93.0
8,South,3027.67,14.09,14.9,161.0
9,West,2314.81,36.27,35.33,121.0
2,North,626.57,39.5,39.02,56.0
4,East,2118.63,25.08,27.84,125.0
10,East,2809.26,45.2,46.71,121.0
10,South,867.69,44.81,45.06,68.0
6,West,4233.91,52.72,51.43,182.0
10,South,639.02,49.58,51.96,39.0
11,West,-999.0,49.84,48.25,209.0
5,South,855.92,30.34,29.29,65.0
11,East,4280.44,57.67,60.12,190.0
4,East,4552.2,43.85,44.03,217.0
3,West,4906.03,37.02,38.47,
9,South,4089.32,48.31,48.85,186.0
8,South,3985.6,32.92,33.84,185.0
2,North,3355.42,41.74,40.54,160.0
10,South,3983.38,54.73,53.18,184.0
3,West,1018.94,63.41,62.34,50.0
10,North,2865.91,65.42,63.35,140.0
1,West,2765.43,41.21,43.46,142.0
10,East,-999.0,42.18,40.88,181.0
10,North,2528.88,58.39,58.76,104.0
10,South,2171.41,30.24,31.99,120.0
8,East,3341.99,60.57,62.27,155.0
6,South,1625.73,40.66,40.29,91.0
9,North,1042.93,18.72,18.58,76.0
4,East,2598.24,16.18,19.15,145.0
10,East,2317.69,60.84,61.89,125.0
7,North,1469.82,15.22,17.11,85.0
6,South,2090.55,28.28,30.7,106.0
7,North,2085.41,31.38,33.11,105.0
7,East,1906.48,0.0,20.14,110.0
1,East,2145.53,30.21,30.58,130.0
2,East,3554.42,55.08,52.69,158.0
3,West,1765.63,12.85,13.77,83.0
2,West,4764.75,59.98,62.71,199.0
6,South,-999.0,61.68,61.76,198.0
9,North,2612.19,33.59,33.19,128.0
8,East,1910.46,20.91,18.13,
6,West,2863.0,46.85,49.61,144.0
11,West,4303.38,18.94,16.56,200.0
7,North,3401.9,33.17,30.42,173.0
1,North,4100.2,67.59,66.07,175.0
10,North,2850.52,69.74,67.13,121.0
7,North,3311.42,56.78,56.51,
8,East,1725.52,30.04,30.14,85.0
7,East,3780.51,51.88,50.76,178.0
7,South,1331.06,52.91,50.22,75.0
2,South,3596.07,34.49,32.16,169.0
7,West,4359.31,49.17,48.48,215.0
10,South,1007.67,12.62,9.98,67.0
4,West,3226.15,24.13,25.32,184.0
8,West,837.44,42.46,40.7,56.0
1,South,3738.29,21.5,20.31,169.0
5,North,788.67,21.62,20.98,65.0
6,West,4705.32,60.51,60.01,199.0
12,East,1032.08,69.37,66.38,49.0
3,South,4810.85,44.25,41.92,220.0
4,East,4084.07,60.67,62.85,193.0
5,East,3130.94,69.44,66.45,135.0
12,West,4000.07,20.21,20.26,204.0
11,South,4057.53,38.0,37.94,202.0
1,West,4751.72,34.77,33.77,233.0
3,West,1565.56,16.64,16.23,102.0
10,North,3114.35,55.81,57.49,163.0
1,North,837.23,37.16,39.21,46.0
11,East,3234.36,39.22,37.78,153.0
4,North,1187.94,20.74,19.67,71.0
12,South,2998.77,22.49,20.94,
4,South,3033.18,64.61,64.49,136.0
6,West,2543.53,14.59,15.69,137.0
8,West,2804.11,25.51,23.88,161.0
2,North,3914.05,28.94,27.92,185.0
7,West,4076.53,40.43,43.01,198.0
7,North,2663.9,46.01,43.3,127.0
10,East,3158.13,40.61,40.37,155.0
12,West,4683.69,16.88,18.15,224.0
8,West,950.77,26.13,24.03,72.0
5,North,938.68,60.93,58.21,68.0
5,West,803.46,48.98,46.81,71.0
6,North,3426.17,49.65,52.16,168.0
10,East,2325.6,50.87,47.93,120.0
4,South,3961.88,0.0,54.38,168.0
3,South,3487.66,15.37,12.56,171.0
5,North,1934.73,33.26,30.92,114.0
1,West,4532.49,43.29,44.01,218.0
2,South,3907.65,31.63,30.08,187.0
2,East,1644.46,60.98,61.4,97.0
10,South,2075.28,39.99,40.53,117.0
9,South,1846.42,56.58,58.68,111.0
9,West,1125.01,61.42,58.45,66.0
6,North,1079.8,41.28,43.4,70.0
9,East,4706.19,64.75,65.46,213.0
2,East,2414.36,46.05,44.03,91.0
11,South,2163.27,61.32,62.96,114.0
7,South,3756.55,31.75,33.88,147.0
12,North,2943.77,40.93,39.46,126.0
